case,year,month,gen_id,bus_id,plant_name_kor,unit_name,unit_number,pmax_mw,gen_type,fuel_cost_source_period,fuel_cost_source_type,fuel_cost_source_fuel,fuel_cost_krw_per_gcal,heat_source_classification,heat_qhc_gcal_per_mw2h,heat_lhc_gcal_per_mwh,heat_nlhc_gcal_per_h,gencost_a_1000krw_per_mw2h,gencost_b_1000krw_per_mwh,gencost_c_1000krw_per_h,final_cost_function_1000krw_per_h
KPG193_ver2_0,2022,12,1,3,포천복합,#1,1,725,LNG,2022/01,base_2022,LNG,89717.422,LNG,0.00049151232529,1.36463837398,121.064657277,0.0440972187063,122.431836876,10861.6089462,0.0440972187063*P^2 + 122.431836876*P + 10861.6089462
KPG193_ver2_0,2022,12,2,3,포천복합,#2,2,725,LNG,2022/01,base_2022,LNG,89717.422,LNG,0.00049151232529,1.36463837398,121.064657277,0.0440972187063,122.431836876,10861.6089462,0.0440972187063*P^2 + 122.431836876*P + 10861.6089462
KPG193_ver2_0,2022,12,3,3,포천천연복합,#1,1,874.2,LNG,2022/01,base_2022,LNG,89717.422,LNG,0.000396342548756,1.32686476113,141.938186853,0.0355588317033,119.042885711,12734.3282078,0.0355588317033*P^2 + 119.042885711*P + 12734.3282078
KPG193_ver2_0,2022,12,4,4,양주열병합,#1,1,524.3,LNG,2022/01,base_2022,LNG,89717.422,LNG,0.000713520218601,1.43262096359,91.9121553319,0.0640151945578,128.531059557,8246.12162684,0.0640151945578*P^2 + 128.531059557*P + 8246.12162684
KPG193_ver2_0,2022,12,5,4,동두천복합,#1,1,858.4,LNG,2022/01,base_2022,LNG,89717.422,LNG,0.000404743567226,1.33049983255,139.754668357,0.0363125494226,119.369014948,12538.4285574,0.0363125494226*P^2 + 119.369014948*P + 12538.4285574
KPG193_ver2_0,2022,12,6,4,동두천복합,#2,2,858.4,LNG,2022/01,base_2022,LNG,89717.422,LNG,0.000404743567226,1.33049983255,139.754668357,0.0363125494226,119.369014948,12538.4285574,0.0363125494226*P^2 + 119.369014948*P + 12538.4285574
KPG193_ver2_0,2022,12,7,8,파주문산복합,#1,1,847.6,LNG,2022/01,base_2022,LNG,89717.422,LNG,0.000410679978012,1.3330291252,138.258670752,0.0368451488942,119.595936564,12404.211509,0.0368451488942*P^2 + 119.595936564*P + 12404.211509
KPG193_ver2_0,2022,12,8,8,파주문산복합,#2,2,847.6,LNG,2022/01,base_2022,LNG,89717.422,LNG,0.000410679978012,1.3330291252,138.258670752,0.0368451488942,119.595936564,12404.211509,0.0368451488942*P^2 + 119.595936564*P + 12404.211509
KPG193_ver2_0,2022,12,9,8,파주열병합,#1,1,515.5,LNG,2022/01,base_2022,LNG,89717.422,LNG,0.000727545485611,1.4362630248,90.599216205,0.0652735053567,128.857815899,8128.32811314,0.0652735053567*P^2 + 128.857815899*P + 8128.32811314
KPG193_ver2_0,2022,12,10,9,별내열병합,#1,1,115.41,LNG,2022/01,base_2022,LNG,89717.422,LNG,0.0040676461231,1.79776021208,25.3884972819,0.364938723773,161.290411602,2277.79052458,0.364938723773*P^2 + 161.290411602*P + 2277.79052458
KPG193_ver2_0,2022,12,11,9,노원열병합,#1,1,37,LNG,2022/01,base_2022,LNG,89717.422,LNG,0.0134487794493,1.90559127563,8.62766493886,1.20658982124,170.964736635,774.051856194,1.20658982124*P^2 + 170.964736635*P + 774.051856194
KPG193_ver2_0,2022,12,12,10,일산복합,#1,1,600,LNG,2022/01,base_2022,LNG,89717.422,LNG,0.000611011215969,1.40393044811,103.076255694,0.0548183511098,125.957020472,9247.73593024,0.0548183511098*P^2 + 125.957020472*P + 9247.73593024
KPG193_ver2_0,2022,12,13,10,일산복합,#2,2,300,LNG,2022/01,base_2022,LNG,89717.422,LNG,0.00135591878466,1.55775836613,57.1851333063,0.121649537801,139.758064708,5130.50273697,0.121649537801*P^2 + 139.758064708*P + 5130.50273697
KPG193_ver2_0,2022,12,14,19,서울복합,#1,1,369.173,LNG,2022/01,base_2022,LNG,89717.422,LNG,0.00106809209284,1.51002379495,68.2143134489,0.0958264690282,135.475442042,6120.01234613,0.0958264690282*P^2 + 135.475442042*P + 6120.01234613
KPG193_ver2_0,2022,12,15,19,서울복합,#2,2,369.173,LNG,2022/01,base_2022,LNG,89717.422,LNG,0.00106809209284,1.51002379495,68.2143134489,0.0958264690282,135.475442042,6120.01234613,0.0958264690282*P^2 + 135.475442042*P + 6120.01234613
KPG193_ver2_0,2022,12,16,20,하남열병합,#1,1,363.811,LNG,2022/01,base_2022,LNG,89717.422,LNG,0.00108621531153,1.51334137761,67.3712373058,0.0974524374873,135.773087005,6044.37372803,0.0974524374873*P^2 + 135.773087005*P + 6044.37372803
KPG193_ver2_0,2022,12,17,21,신인천복합,#1,1,450,LNG,2022/01,base_2022,LNG,89717.422,LNG,0.000850606563463,1.46583944279,80.7162000517,0.0763142280102,131.511335873,7241.64938227,0.0763142280102*P^2 + 131.511335873*P + 7241.64938227
KPG193_ver2_0,2022,12,18,21,신인천복합,#2,2,450,LNG,2022/01,base_2022,LNG,89717.422,LNG,0.000850606563463,1.46583944279,80.7162000517,0.0763142280102,131.511335873,7241.64938227,0.0763142280102*P^2 + 131.511335873*P + 7241.64938227
KPG193_ver2_0,2022,12,19,21,신인천복합,#3,3,450,LNG,2022/01,base_2022,LNG,89717.422,LNG,0.000850606563463,1.46583944279,80.7162000517,0.0763142280102,131.511335873,7241.64938227,0.0763142280102*P^2 + 131.511335873*P + 7241.64938227
KPG193_ver2_0,2022,12,20,21,신인천복합,#4,4,450,LNG,2022/01,base_2022,LNG,89717.422,LNG,0.000850606563463,1.46583944279,80.7162000517,0.0763142280102,131.511335873,7241.64938227,0.0763142280102*P^2 + 131.511335873*P + 7241.64938227
KPG193_ver2_0,2022,12,21,24,목동열병합,#1,1,21,LNG,2022/01,base_2022,LNG,89717.422,LNG,0.0236954685536,1.90559127563,4.89678280313,2.12589635171,170.964736635,439.326729191,2.12589635171*P^2 + 170.964736635*P + 439.326729191
KPG193_ver2_0,2022,12,22,26,부천복합,#1,1,450,LNG,2022/01,base_2022,LNG,89717.422,LNG,0.000850606563463,1.46583944279,80.7162000517,0.0763142280102,131.511335873,7241.64938227,0.0763142280102*P^2 + 131.511335873*P + 7241.64938227
KPG193_ver2_0,2022,12,23,27,인천공항열병합,#1,1,127,LNG,2022/01,base_2022,LNG,89717.422,LNG,0.00364375225809,1.77213875148,27.5399554983,0.326908059003,158.991720209,2470.8138093,0.326908059003*P^2 + 158.991720209*P + 2470.8138093
KPG193_ver2_0,2022,12,24,27,송도열병합,#1,1,187.3,LNG,2022/01,base_2022,LNG,89717.422,LNG,0.00233079821253,1.6718126766,38.3166191313,0.20911320683,149.990723411,3437.66828821,0.20911320683*P^2 + 149.990723411*P + 3437.66828821
KPG193_ver2_0,2022,12,25,34,서인천복합,#1,1,225,LNG,2022/01,base_2022,LNG,89717.422,LNG,0.00188761415112,1.62645069668,44.7801157393,0.169351875369,145.920963516,4017.55654099,0.169351875369*P^2 + 145.920963516*P + 4017.55654099
KPG193_ver2_0,2022,12,26,34,서인천복합,#2,2,225,LNG,2022/01,base_2022,LNG,89717.422,LNG,0.00188761415112,1.62645069668,44.7801157393,0.169351875369,145.920963516,4017.55654099,0.169351875369*P^2 + 145.920963516*P + 4017.55654099
KPG193_ver2_0,2022,12,27,34,서인천복합,#3,3,225,LNG,2022/01,base_2022,LNG,89717.422,LNG,0.00188761415112,1.62645069668,44.7801157393,0.169351875369,145.920963516,4017.55654099,0.169351875369*P^2 + 145.920963516*P + 4017.55654099
KPG193_ver2_0,2022,12,28,34,서인천복합,#4,4,225,LNG,2022/01,base_2022,LNG,89717.422,LNG,0.00188761415112,1.62645069668,44.7801157393,0.169351875369,145.920963516,4017.55654099,0.169351875369*P^2 + 145.920963516*P + 4017.55654099
