bus_ID,Type,Pmax [MW],Pmin [MW]
1,Wind,0,0
2,Wind,0,0
3,Wind,0,0
4,Wind,0,0
5,Wind,0.045338167524662706,0
6,Wind,0,0
7,Wind,0.105789057557546314,0
8,Wind,0,0
9,Wind,0,0
10,Wind,0,0
11,Wind,0,0
12,Wind,0,0
13,Wind,0,0
14,Wind,0,0
15,Wind,0,0
16,Wind,0,0
17,Wind,0,0
18,Wind,0,0
19,Wind,1.526384973330311102,0
20,Wind,0,0
21,Wind,45.383505692187368706,0
22,Wind,0,0
23,Wind,0,0
24,Wind,0,0
25,Wind,0,0
26,Wind,0,0
27,Wind,697.195227471754871966,0
28,Wind,0,0
29,Wind,0.015112722508220902,0
30,Wind,0,0
31,Wind,0.045338167524662706,0
32,Wind,0,0
33,Wind,0,0
34,Wind,0.030225445016441804,0
35,Wind,0,0
36,Wind,0,0
37,Wind,0,0
38,Wind,0,0
39,Wind,0,0
40,Wind,79.704498508357037148,0
41,Wind,0,0
42,Wind,0,0
43,Wind,0.277185722984063847517734,0
44,Wind,0.085519617213237800482266,0
45,Wind,0,0
46,Wind,0,0
47,Wind,0.045338167524662706,0
48,Wind,0,0
49,Wind,0,0
50,Wind,0.83119973795214961,0
51,Wind,0,0
52,Wind,0,0
53,Wind,0,0
54,Wind,0,0
55,Wind,0.045338167524662706,0
56,Wind,0,0
57,Wind,0.181352670098650824,0
58,Wind,0.30225445016441804,0
59,Wind,0.45338167524662706,0
60,Wind,0,0
61,Wind,0.020825966350673748233884,0
62,Wind,0.024512201173988957766116,0
63,Wind,30.37657224152401302,0
64,Wind,0,0
65,Wind,0.045338167524662706,0
66,Wind,0.045338167524662706,0
67,Wind,0.30225445016441804,0
68,Wind,45.338167524662706,0
69,Wind,92.79211620047633828,0
70,Wind,13.284083084726172858,0
71,Wind,464.141933672480342224,0
72,Wind,0,0
73,Wind,0,0
74,Wind,604.50890032883608,0
75,Wind,195.755094648985343606,0
76,Wind,486.93191921487746244,0
77,Wind,0,0
78,Wind,2400.701308598414945406,0
79,Wind,669.009999993922889736,0
80,Wind,2921.2892608391003566,0
81,Wind,0.362705340197301648,0
82,Wind,807.0193819389961668,0
83,Wind,0.045338167524662706,0
84,Wind,0.120901780065767216,0
85,Wind,0,0
86,Wind,0.015112722508220902,0
87,Wind,0,0
88,Wind,3973.8903835366861809,0
89,Wind,0.090676335049325412,0
90,Wind,0,0
91,Wind,0,0
92,Wind,290.1642721578413184,0
93,Wind,0.07556361254110451,0
94,Wind,598.4638113255477192,0
95,Wind,0,0
96,Wind,0,0
97,Wind,0,0
98,Wind,3.0225445016441804,0
99,Wind,0,0
100,Wind,0,0
101,Wind,0,0
102,Wind,0,0
103,Wind,0,0
104,Wind,0,0
105,Wind,0,0
106,Wind,0.30225445016441804,0
107,Wind,0,0
108,Wind,315.190940631455132112,0
109,Wind,0,0
110,Wind,0,0
111,Wind,0.136014502573988118,0
112,Wind,0,0
113,Wind,0.136014502573988118,0
114,Wind,24.9359921385644883,0
115,Wind,0,0
116,Wind,0,0
117,Wind,0.045338167524662706,0
118,Wind,906.808688660778782706,0
119,Wind,0,0
120,Wind,0,0
121,Wind,0,0
122,Wind,0,0
123,Wind,0,0
124,Wind,2749.0042242453820738,0
125,Wind,0,0
126,Wind,0,0
127,Wind,0.060450890032883608,0
128,Wind,0,0
129,Wind,0,0
130,Wind,1023.1313138065550654,0
131,Wind,0,0
132,Wind,299.277243830298522306,0
133,Wind,45.383505692187368706,0
134,Wind,0,0
135,Wind,5.077874762762223072,0
136,Wind,615.8434422100017565,0
137,Wind,46.214705430139518316,0
138,Wind,0,0
139,Wind,1129.6760074895124245,0
140,Wind,272.029005147976236,0
141,Wind,0,0
142,Wind,0,0
143,Wind,0.45338167524662706,0
144,Wind,6.0450890032883608,0
145,Wind,262.220848240140870602,0
146,Wind,174.5519449699514181,0
147,Wind,0,0
148,Wind,0.045338167524662706,0
149,Wind,0,0
150,Wind,185.0147049194136194018594,0
151,Wind,156.3665838187883358761406,0
152,Wind,0,0
153,Wind,0.045338167524662706,0
154,Wind,0.045338167524662706,0
155,Wind,0.105789057557546314,0
156,Wind,0,0
157,Wind,0,0
158,Wind,873.5153609751681356,0
159,Wind,0,0
160,Wind,0.090676335049325412,0
161,Wind,0,0
162,Wind,211.578115115092628,0
163,Wind,0,0
164,Wind,0,0
165,Wind,0.120901780065767216,0
166,Wind,24.9359921385644883,0
167,Wind,0.030225445016441804,0
168,Wind,0,0
169,Wind,0,0
170,Wind,0.030225445016441804,0
171,Wind,0,0
172,Wind,796.13822173307711736,0
173,Wind,283.3635470291419125,0
174,Wind,0,0
175,Wind,11.757698111395861756,0
176,Wind,0.048355739940601681723242,0
177,Wind,0.061827795067885106160318,0
178,Wind,0.030225445016441804,0
179,Wind,0,0
180,Wind,0.649847067853498786,0
181,Wind,0,0
182,Wind,0.060450890032883608,0
183,Wind,0.02583096756550133011644,0
184,Wind,0.045338167524662706,0
185,Wind,0,0
186,Wind,0.090676335049325412,0
187,Wind,0,0
188,Wind,0.181352670098650824,0
189,Wind,11.3345418811656765,0
190,Wind,11.3345418811656765,0
191,Wind,0.07556361254110451,0
192,Wind,0.030225445016441804,0
193,Wind,0.211578115115092628,0
